	OUT.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU298	OTU298	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Neophaeosphaeria	NA
OTU299	OTU299	Fungi	NA	NA	NA	NA	NA	NA
OTU300	OTU300	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU301	OTU301	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium herbarum
OTU302	OTU302	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU303	OTU303	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU304	OTU304	Fungi	NA	NA	NA	NA	NA	NA
OTU305	OTU305	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU306	OTU306	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU307	OTU307	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU308	OTU308	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU309	OTU309	Fungi	NA	NA	NA	NA	NA	NA
OTU310	OTU310	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU311	OTU311	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU312	OTU312	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU313	OTU313	Fungi	NA	NA	NA	NA	NA	NA
OTU314	OTU314	Fungi	Ascomycota	Pneumocystidomycetes	Pneumocystidales	NA	NA	NA
OTU315	OTU315	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia terricola
OTU316	OTU316	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella septenaria
OTU317	OTU317	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU318	OTU318	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	NA	NA	NA
OTU319	OTU319	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU320	OTU320	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU321	OTU321	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU322	OTU322	Fungi	NA	NA	NA	NA	NA	NA
OTU323	OTU323	Fungi	NA	NA	NA	NA	NA	NA
OTU324	OTU324	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU325	OTU325	Fungi	NA	NA	NA	NA	NA	NA
OTU326	OTU326	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU327	OTU327	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU328	OTU328	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU329	OTU329	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU330	OTU330	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU331	OTU331	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium brachygibbosum
OTU332	OTU332	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU333	OTU333	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU334	OTU334	Fungi	NA	NA	NA	NA	NA	NA
OTU335	OTU335	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU336	OTU336	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA
OTU337	OTU337	Fungi	NA	NA	NA	NA	NA	NA
OTU338	OTU338	Fungi	NA	NA	NA	NA	NA	NA
OTU339	OTU339	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU340	OTU340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Verrucoconiothyrium	Verrucoconiothyrium prosopidis
OTU341	OTU341	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU342	OTU342	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU343	OTU343	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU344	OTU344	Fungi	NA	NA	NA	NA	NA	NA
OTU345	OTU345	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU346	OTU346	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU347	OTU347	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	NA
OTU348	OTU348	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU349	OTU349	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU350	OTU350	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
OTU351	OTU351	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
OTU352	OTU352	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU353	OTU353	Fungi	NA	NA	NA	NA	NA	NA
OTU354	OTU354	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU355	OTU355	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA
OTU356	OTU356	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU357	OTU357	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	NA
OTU358	OTU358	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU360	OTU360	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU361	OTU361	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	NA
OTU362	OTU362	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	NA
OTU363	OTU363	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU364	OTU364	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU365	OTU365	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	NA	NA	NA
OTU366	OTU366	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU367	OTU367	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU368	OTU368	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU369	OTU369	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU370	OTU370	Fungi	Ascomycota	Leotiomycetes	Erysiphales	NA	NA	NA
OTU371	OTU371	Fungi	NA	NA	NA	NA	NA	NA
OTU372	OTU372	Fungi	NA	NA	NA	NA	NA	NA
OTU373	OTU373	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU374	OTU374	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU375	OTU375	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
OTU376	OTU376	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Corallomycetella	Corallomycetella repens
OTU377	OTU377	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella centenaria
OTU378	OTU378	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
OTU379	OTU379	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	NA	NA
OTU380	OTU380	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU381	OTU381	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU382	OTU382	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU383	OTU383	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	NA
OTU384	OTU384	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	NA
OTU385	OTU385	Fungi	Basidiomycota	Cystobasidiomycetes	Cyphobasidiales	NA	NA	NA
OTU386	OTU386	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU387	OTU387	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU388	OTU388	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU389	OTU389	Fungi	NA	NA	NA	NA	NA	NA
OTU390	OTU390	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU391	OTU391	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU392	OTU392	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU393	OTU393	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
OTU394	OTU394	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU395	OTU395	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU396	OTU396	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces muricatus
OTU397	OTU397	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU398	OTU398	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU399	OTU399	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU400	OTU400	Fungi	NA	NA	NA	NA	NA	NA
OTU401	OTU401	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
OTU402	OTU402	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus
OTU403	OTU403	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
OTU404	OTU404	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU405	OTU405	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
OTU406	OTU406	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus thromboides
OTU407	OTU407	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
OTU408	OTU408	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	NA
OTU409	OTU409	Fungi	NA	NA	NA	NA	NA	NA
OTU411	OTU411	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU412	OTU412	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	NA	NA	NA
OTU413	OTU413	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU414	OTU414	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU415	OTU415	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU416	OTU416	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	NA	NA	NA
OTU417	OTU417	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	NA
OTU418	OTU418	Fungi	NA	NA	NA	NA	NA	NA
OTU420	OTU420	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU421	OTU421	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU422	OTU422	Fungi	NA	NA	NA	NA	NA	NA
OTU423	OTU423	Fungi	NA	NA	NA	NA	NA	NA
OTU424	OTU424	Fungi	NA	NA	NA	NA	NA	NA
OTU425	OTU425	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU426	OTU426	Fungi	NA	NA	NA	NA	NA	NA
OTU427	OTU427	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU428	OTU428	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	NA	NA
OTU429	OTU429	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
OTU430	OTU430	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	NA	NA	NA
OTU431	OTU431	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU432	OTU432	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU433	OTU433	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina trifolii
OTU434	OTU434	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU435	OTU435	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU436	OTU436	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU437	OTU437	Fungi	NA	NA	NA	NA	NA	NA
OTU438	OTU438	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
OTU439	OTU439	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU440	OTU440	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU441	OTU441	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU444	OTU444	Fungi	Basidiomycota	Cystobasidiomycetes	NA	NA	NA	NA
OTU445	OTU445	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces mexicanus
OTU446	OTU446	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU447	OTU447	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU448	OTU448	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU449	OTU449	Fungi	Entomophthoromycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	NA
OTU450	OTU450	Fungi	NA	NA	NA	NA	NA	NA
OTU451	OTU451	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU452	OTU452	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU453	OTU453	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU454	OTU454	Fungi	NA	NA	NA	NA	NA	NA
OTU455	OTU455	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU456	OTU456	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
OTU458	OTU458	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	NA
OTU459	OTU459	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU460	OTU460	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU461	OTU461	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	NA	NA	NA
OTU462	OTU462	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU463	OTU463	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU464	OTU464	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	NA	NA	NA
OTU465	OTU465	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU466	OTU466	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU467	OTU467	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU468	OTU468	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
OTU469	OTU469	Fungi	Basidiomycota	Agaricomycetes	Boletales	NA	NA	NA
OTU470	OTU470	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU471	OTU471	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	NA
OTU472	OTU472	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
OTU473	OTU473	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU474	OTU474	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU475	OTU475	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU476	OTU476	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
OTU477	OTU477	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU478	OTU478	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium herbarum
OTU479	OTU479	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU480	OTU480	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU481	OTU481	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU483	OTU483	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
OTU484	OTU484	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium chernovii
OTU485	OTU485	Fungi	NA	NA	NA	NA	NA	NA
OTU486	OTU486	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
OTU487	OTU487	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU488	OTU488	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU489	OTU489	Fungi	NA	NA	NA	NA	NA	NA
OTU490	OTU490	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
OTU491	OTU491	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU492	OTU492	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	NA
OTU493	OTU493	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	NA
OTU494	OTU494	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	NA	NA
OTU495	OTU495	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU496	OTU496	Fungi	NA	NA	NA	NA	NA	NA
OTU497	OTU497	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU498	OTU498	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU499	OTU499	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU500	OTU500	Fungi	NA	NA	NA	NA	NA	NA
OTU501	OTU501	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea alpha
OTU502	OTU502	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Collophora	NA
OTU503	OTU503	Fungi	NA	NA	NA	NA	NA	NA
OTU504	OTU504	Fungi	NA	NA	NA	NA	NA	NA
OTU505	OTU505	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU506	OTU506	Fungi	Glomeromycota	Glomeromycetes	Glomerales	NA	NA	NA
OTU507	OTU507	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU508	OTU508	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU509	OTU509	Fungi	NA	NA	NA	NA	NA	NA
OTU510	OTU510	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU511	OTU511	Fungi	NA	NA	NA	NA	NA	NA
OTU512	OTU512	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU513	OTU513	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU514	OTU514	Fungi	NA	NA	NA	NA	NA	NA
OTU515	OTU515	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus curtus
OTU516	OTU516	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU517	OTU517	Fungi	NA	NA	NA	NA	NA	NA
OTU518	OTU518	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU519	OTU519	Fungi	NA	NA	NA	NA	NA	NA
OTU520	OTU520	Fungi	NA	NA	NA	NA	NA	NA
OTU521	OTU521	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU522	OTU522	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU523	OTU523	Fungi	Mortierellomycota	NA	NA	NA	NA	NA
OTU524	OTU524	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	NA
OTU525	OTU525	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU526	OTU526	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium magnum
OTU527	OTU527	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Catenariaceae	Catenaria	Catenaria anguillulae
OTU528	OTU528	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU529	OTU529	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU530	OTU530	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
OTU531	OTU531	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU532	OTU532	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU533	OTU533	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU534	OTU534	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU535	OTU535	Fungi	NA	NA	NA	NA	NA	NA
OTU536	OTU536	Fungi	NA	NA	NA	NA	NA	NA
OTU537	OTU537	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
OTU539	OTU539	Fungi	NA	NA	NA	NA	NA	NA
OTU540	OTU540	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	NA
OTU541	OTU541	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU542	OTU542	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU543	OTU543	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU544	OTU544	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU545	OTU545	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU546	OTU546	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
OTU547	OTU547	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	Lecidea laboriosa
OTU548	OTU548	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU549	OTU549	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	NA	NA	NA
OTU550	OTU550	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
OTU551	OTU551	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU552	OTU552	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU553	OTU553	Fungi	NA	NA	NA	NA	NA	NA
OTU554	OTU554	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU555	OTU555	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU556	OTU556	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	NA	Holtermanniella	Holtermanniella wattica
OTU557	OTU557	Fungi	NA	NA	NA	NA	NA	NA
OTU558	OTU558	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU559	OTU559	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU560	OTU560	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU561	OTU561	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	NA	NA	NA
OTU562	OTU562	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
OTU563	OTU563	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU564	OTU564	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU565	OTU565	Fungi	NA	NA	NA	NA	NA	NA
OTU566	OTU566	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU567	OTU567	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
OTU568	OTU568	Fungi	NA	NA	NA	NA	NA	NA
OTU569	OTU569	Fungi	NA	NA	NA	NA	NA	NA
OTU570	OTU570	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU571	OTU571	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU572	OTU572	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia appendiculata
OTU573	OTU573	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU574	OTU574	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	NA
OTU575	OTU575	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
OTU576	OTU576	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU577	OTU577	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU578	OTU578	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU579	OTU579	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU580	OTU580	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU581	OTU581	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Carbonea	NA
OTU582	OTU582	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU583	OTU583	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
OTU584	OTU584	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU585	OTU585	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU586	OTU586	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU587	OTU587	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU588	OTU588	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
OTU589	OTU589	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU590	OTU590	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU591	OTU591	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	NA	NA	NA
OTU592	OTU592	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU593	OTU593	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU594	OTU594	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	NA	NA
OTU595	OTU595	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU596	OTU596	Fungi	NA	NA	NA	NA	NA	NA
OTU597	OTU597	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA
OTU598	OTU598	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU599	OTU599	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Elasticomyces	Elasticomyces elasticus
OTU600	OTU600	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
OTU601	OTU601	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU602	OTU602	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
OTU603	OTU603	Fungi	NA	NA	NA	NA	NA	NA
